,areaid,areaname,districtid,districtname,areaid0,areaname0,districtid0,districtname0,pharmagroup,clientdunsno,customerlocationname,custcol_8,parentptsdunsno,custcol_6,parentshipperlocationname,productcode,producttypedesc,weekid,weekdesc,monthid,monthdesc,mailclasscode,svcstddaytimecode,mailclasssrvcstddesc,ontimevolume,totalcount,failedcount
2552,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,68,ME-NH-VT,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5564,2021-12-11,1288,DEC 2021,PM,3D  ,Priority Mail - 3 Day,1,1,0
2553,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,17,OHIO 1,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5560,2021-11-13,1287,NOV 2021,PM,3D  ,Priority Mail - 3 Day,57,59,2
2554,7,SOUTHERN,20,TEXAS 1,10,CENTRAL,24,MICHIGAN 1,CMOP DALLAS,901581570,CMOP DALLAS,901581570,901581565,901581565,GENCO,FC ,First-Class                                       ,5556,2021-10-16,1286,OCT 2021,FC,3D  ,First Class - 3 Day,77,87,10
2555,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,1463,TENNESSEE,HDP,902541977,HDP,902541977,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5569,2022-01-15,1289,JAN 2022,FC,3D  ,First Class - 3 Day,33,33,0
2556,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1507,GEORGIA,OPTUM RX CH_HDP,902746635,OPTUM RX CH_HDP,902746635,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5601,2022-08-27,1297,SEP 2022,FC,2D  ,First Class - 2 Day,2,2,0
2557,2,ATLANTIC,57,DE-PA 2 DISTRICT,2,ATLANTIC,57,DE-PA 2 DISTRICT,HDP,902205143,HDP,902205143,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5578,2022-03-19,1291,MAR 2022,PM,1D  ,Priority Mail - 1 Day,1,1,0
2558,5,WESTPAC,63,CALIFORNIA 6,5,WESTPAC,81,CALIFORNIA 3,CVS,999999168,CVS 02855 SAN DIEGO,999999168,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5606,2022-10-01,1298,OCT 2022,FC,2D  ,First Class - 2 Day,4,4,0
2559,7,SOUTHERN,1497,FLORIDA 1,2,ATLANTIC,2294,NORTH CAROLINA,HDP,902293988,HDP,902293988,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5590,2022-06-11,1294,JUN 2022,FC,3D  ,First Class - 3 Day,2,2,0
2560,10,CENTRAL,72,KS-MO,7,SOUTHERN,79,TEXAS 3,OPTUM RX OP_HDP,902746682,OPTUM RX OP_HDP,902746682,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5564,2021-12-11,1288,DEC 2021,PM,3D  ,Priority Mail - 3 Day,1,1,0
2561,10,CENTRAL,16,OHIO 2,2,ATLANTIC,1317,NEW JERSEY,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5593,2022-07-02,1295,JUL 2022,FC,3D  ,First Class - 3 Day,85,88,3
2562,2,ATLANTIC,74,VIRGINIA,7,SOUTHERN,1507,GEORGIA,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,PM ,Priority Mail                                     ,5598,2022-08-06,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,43,44,1
2563,10,CENTRAL,72,KS-MO,5,WESTPAC,89,CO-WY,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5556,2021-10-16,1286,OCT 2021,PM,3D  ,Priority Mail - 3 Day,1,1,0
2564,10,CENTRAL,72,KS-MO,5,WESTPAC,73,WASHINGTON,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,3D  ,First Class - 3 Day,16,16,0
2565,10,CENTRAL,72,KS-MO,10,CENTRAL,15,ILLINOIS 2,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5581,2022-04-09,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,8,8,0
2566,7,SOUTHERN,1482,FLORIDA 2,7,SOUTHERN,1482,FLORIDA 2,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5607,2022-10-08,1298,OCT 2022,FC,2D  ,First Class - 2 Day,1,1,0
2567,5,WESTPAC,38,CALIFORNIA 5,2,ATLANTIC,60,PENNSYLVANIA 1,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,FC ,First-Class                                       ,5598,2022-08-06,1296,AUG 2022,FC,5D  ,First Class - 5 Day,3,3,0
2568,10,CENTRAL,72,KS-MO,2,ATLANTIC,1,NEW YORK 3,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,FC ,First-Class                                       ,5592,2022-06-25,1294,JUN 2022,FC,3D  ,First Class - 3 Day,379,438,59
2569,5,WESTPAC,1081,AZ-NM,7,SOUTHERN,1497,FLORIDA 1,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5606,2022-10-01,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,81,82,1
2570,5,WESTPAC,1081,AZ-NM,5,WESTPAC,65,ID-MT-OR,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5579,2022-03-26,1292,APR 2022,FC,3D  ,First Class - 3 Day,235,239,4
2571,2,ATLANTIC,57,DE-PA 2 DISTRICT,10,CENTRAL,32,INDIANA,INGENIO,902372650,Ingenio Rx,902372650,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5571,2022-01-29,1290,FEB 2022,FC,3D  ,First Class - 3 Day,2,3,1
2572,5,WESTPAC,63,CALIFORNIA 6,5,WESTPAC,1080,NV-UT,HDP,902205143,HDP,902205143,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5570,2022-01-22,1289,JAN 2022,PM,3D  ,Priority Mail - 3 Day,12,12,0
2573,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,1482,FLORIDA 2,HDP,902205135,HDP,902205135,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5578,2022-03-19,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,7,7,0
2574,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,62,CALIFORNIA 2,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5558,2021-10-30,1287,NOV 2021,PM,2D  ,Priority Mail - 2 Day,39,39,0
2575,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1084,SOUTH CAROLINA,OPTUMRX OV_HDP,902746692,OPTUMRX OV_HDP,902746692,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5557,2021-10-23,1286,OCT 2021,FC,3D  ,First Class - 3 Day,1279,1290,11
2576,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1488,FLORIDA 3,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5592,2022-06-25,1295,JUL 2022,PM,2D  ,Priority Mail - 2 Day,8,8,0
2577,2,ATLANTIC,57,DE-PA 2 DISTRICT,7,SOUTHERN,1482,FLORIDA 2,INGENIO,902372650,Ingenio Rx,902372650,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5584,2022-04-30,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,5,5,0
2578,5,WESTPAC,63,CALIFORNIA 6,2,ATLANTIC,9,MA-RI,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5584,2022-04-30,1292,APR 2022,FC,3D  ,First Class - 3 Day,37,38,1
2579,2,ATLANTIC,1317,NEW JERSEY,10,CENTRAL,17,OHIO 1,OPTUM RX PB_HDP,902746703,OPTUM RX PB_HDP,902746703,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5587,2022-05-21,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
2580,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,38,CALIFORNIA 5,OPTUM RX SA_HDP,902746718,OPTUM RX SA_HDP,902746718,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5556,2021-10-16,1286,OCT 2021,PM,3D  ,Priority Mail - 3 Day,1,1,0
2581,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,20,TEXAS 1,HDP,902541977,HDP,902541977,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5602,2022-09-03,1297,SEP 2022,FC,2D  ,First Class - 2 Day,3158,3263,105
2582,7,SOUTHERN,1507,GEORGIA,7,SOUTHERN,1507,GEORGIA,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5569,2022-01-15,1289,JAN 2022,PM,1D  ,Priority Mail - 1 Day,1,1,0
2583,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,1309,NEW YORK 1,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,4,5,1
2584,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,40,KY-WV,OPTUM RX CH_HDP,902746633,OPTUM RX CH_HDP,902746633,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5570,2022-01-22,1289,JAN 2022,FC,3D  ,First Class - 3 Day,677,691,14
2585,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,17,OHIO 1,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5565,2021-12-18,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,2,2,0
2586,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,65,ID-MT-OR,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,6,6,0
2587,10,CENTRAL,72,KS-MO,7,SOUTHERN,1320,PUERTO RICO,HDP,901267098,HDP,901267098,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5588,2022-05-28,1293,MAY 2022,FC,4D  ,First Class - 4 Day,1,1,0
2588,2,ATLANTIC,74,VIRGINIA,2,ATLANTIC,1317,NEW JERSEY,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,2D  ,Priority Mail - 2 Day,4,4,0
2589,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,1084,SOUTH CAROLINA,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5592,2022-06-25,1295,JUL 2022,PM,2D  ,Priority Mail - 2 Day,1,1,0
2590,5,WESTPAC,62,CALIFORNIA 2,2,ATLANTIC,60,PENNSYLVANIA 1,"C PP PHARMACY, KAISER FOUNDATION HOSPITA",902053599,"C PP PHARMACY, KAISER FOUNDATION HOSPITA",902053599,901078336,901078336,KAISER PERMANENTE-NCAL REGION,FC ,First-Class                                       ,5580,2022-04-02,1292,APR 2022,FC,2D  ,First Class - 2 Day,1,1,0
2591,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,72,KS-MO,OPTUMRX OV_HDP,902746689,OPTUMRX OV_HDP,902746689,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5564,2021-12-11,1288,DEC 2021,FC,3D  ,First Class - 3 Day,748,782,34
2592,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,46,WISCONSIN,OPTUM RX SA_HDP,902746721,OPTUM RX SA_HDP,902746721,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5565,2021-12-18,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,12,12,0
2593,2,ATLANTIC,57,DE-PA 2 DISTRICT,10,CENTRAL,15,ILLINOIS 2,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5583,2022-04-23,1292,APR 2022,FC,3D  ,First Class - 3 Day,19,19,0
2594,5,WESTPAC,38,CALIFORNIA 5,10,CENTRAL,72,KS-MO,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,PM ,Priority Mail                                     ,5603,2022-09-10,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
2595,10,CENTRAL,72,KS-MO,10,CENTRAL,16,OHIO 2,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5579,2022-03-26,1291,MAR 2022,PM,2D  ,Priority Mail - 2 Day,17,17,0
2596,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,14,ILLINOIS 1,HDP,901326076,HDP,901326076,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5562,2021-11-27,1287,NOV 2021,PM,2D  ,Priority Mail - 2 Day,2,5,3
2597,5,WESTPAC,1080,NV-UT,5,WESTPAC,1080,NV-UT,OPTUM RX SA_HDP,902746720,OPTUM RX SA_HDP,902746720,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5586,2022-05-14,1293,MAY 2022,FC,2D  ,First Class - 2 Day,1,1,0
2598,5,WESTPAC,73,WASHINGTON,5,WESTPAC,70,CALIFORNIA 4,HDP,902293989,HDP,902293989,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5587,2022-05-21,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,6,6,0
2599,10,CENTRAL,72,KS-MO,7,SOUTHERN,1320,PUERTO RICO,OPTUM RX OP_HDP,902746682,OPTUM RX OP_HDP,902746682,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5605,2022-09-24,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
2600,10,CENTRAL,15,ILLINOIS 2,10,CENTRAL,14,ILLINOIS 1,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5605,2022-09-24,1297,SEP 2022,PM,1D  ,Priority Mail - 1 Day,3,4,1
2601,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,9,MA-RI,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,4D  ,First Class - 4 Day,13,15,2
2602,5,WESTPAC,63,CALIFORNIA 6,2,ATLANTIC,57,DE-PA 2 DISTRICT,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5562,2021-11-27,1288,DEC 2021,FC,3D  ,First Class - 3 Day,25,30,5
2603,10,CENTRAL,72,KS-MO,7,SOUTHERN,53,AR-OK,HDP,902205142,HDP,902205142,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5558,2021-10-30,1286,OCT 2021,PM,2D  ,Priority Mail - 2 Day,1,1,0
2604,5,WESTPAC,62,CALIFORNIA 2,5,WESTPAC,64,CALIFORNIA 1,"C PP PHARMACY, KAISER FOUNDATION HOSPITA",902053599,"C PP PHARMACY, KAISER FOUNDATION HOSPITA",902053599,901078336,901078336,KAISER PERMANENTE-NCAL REGION,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,2D  ,First Class - 2 Day,62579,62972,393
2605,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,15,ILLINOIS 2,OPTUMRX OV_HDP,902746689,OPTUMRX OV_HDP,902746689,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,34,36,2
2606,10,CENTRAL,15,ILLINOIS 2,7,SOUTHERN,1497,FLORIDA 1,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5584,2022-04-30,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
2607,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1463,TENNESSEE,OPTUM RX CH_HDP,902746631,OPTUM RX CH_HDP,902746631,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5575,2022-02-26,1290,FEB 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
2608,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1497,FLORIDA 1,HDP,902293988,HDP,902293988,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5587,2022-05-21,1293,MAY 2022,FC,2D  ,First Class - 2 Day,2028,2091,63
2609,5,WESTPAC,73,WASHINGTON,5,WESTPAC,73,WASHINGTON,OPTUM RX WV_HDP,902746733,OPTUM RX WV_HDP,902746733,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5565,2021-12-18,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,25,28,3
2610,5,WESTPAC,73,WASHINGTON,5,WESTPAC,1081,AZ-NM,OPTUM RX WV_HDP,902746733,OPTUM RX WV_HDP,902746733,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5569,2022-01-15,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,159,163,4
2611,2,ATLANTIC,74,VIRGINIA,10,CENTRAL,55,MN-ND,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,FC ,First-Class                                       ,5573,2022-02-12,1290,FEB 2022,FC,3D  ,First Class - 3 Day,20,20,0
2612,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,68,ME-NH-VT,OPTUM RX PB_HDP,902746706,OPTUM RX PB_HDP,902746706,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5588,2022-05-28,1293,MAY 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
2613,5,WESTPAC,65,ID-MT-OR,5,WESTPAC,73,WASHINGTON,KAISER PERMANENTE - NORTHWEST REGION,901995085,KAISER PERMANENTE - NORTHWEST REGION,901995085,901995081,901995081,KAISER PERMANENTE - NORTHWEST REGION,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,1D  ,Priority Mail - 1 Day,948,967,19
2614,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,70,CALIFORNIA 4,HDP,902541976,HDP,902541976,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5600,2022-08-20,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
2615,10,CENTRAL,72,KS-MO,2,ATLANTIC,2294,NORTH CAROLINA,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5571,2022-01-29,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,9,12,3
2616,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1482,FLORIDA 2,HDP,902575881,HDP,902575881,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5567,2022-01-01,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,88,90,2
2617,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,72,KS-MO,INGENIO,902372651,Ingenio Rx,902372651,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5575,2022-02-26,1291,MAR 2022,FC,3D  ,First Class - 3 Day,12,13,1
2618,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,17,OHIO 1,OPTUM RX CA_HDP,902746621,OPTUM RX CA_HDP,902746621,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5556,2021-10-16,1286,OCT 2021,FC,3D  ,First Class - 3 Day,63,80,17
2619,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,46,WISCONSIN,HDP,902541976,HDP,902541976,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5576,2022-03-05,1291,MAR 2022,FC,3D  ,First Class - 3 Day,182,185,3
2620,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,57,DE-PA 2 DISTRICT,OPTUM RX PB_HDP,902746704,OPTUM RX PB_HDP,902746704,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5559,2021-11-06,1287,NOV 2021,FC,2D  ,First Class - 2 Day,2095,2220,125
2621,10,CENTRAL,15,ILLINOIS 2,2,ATLANTIC,68,ME-NH-VT,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5594,2022-07-09,1295,JUL 2022,FC,3D  ,First Class - 3 Day,3,3,0
2622,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,24,MICHIGAN 1,HDP,902541977,HDP,902541977,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5606,2022-10-01,1298,OCT 2022,FC,4D  ,First Class - 4 Day,20,29,9
2623,10,CENTRAL,14,ILLINOIS 1,7,SOUTHERN,33,TEXAS 2,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5608,2022-10-15,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,28,30,2
2624,2,ATLANTIC,57,DE-PA 2 DISTRICT,2,ATLANTIC,57,DE-PA 2 DISTRICT,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5577,2022-03-12,1291,MAR 2022,PM,1D  ,Priority Mail - 1 Day,146,166,20
2625,10,CENTRAL,15,ILLINOIS 2,5,WESTPAC,65,ID-MT-OR,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5606,2022-10-01,1298,OCT 2022,FC,4D  ,First Class - 4 Day,81,82,1
2626,2,ATLANTIC,1317,NEW JERSEY,10,CENTRAL,16,OHIO 2,HDP,902293957,HDP,902293957,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5575,2022-02-26,1290,FEB 2022,PM,2D  ,Priority Mail - 2 Day,3,3,0
2627,5,WESTPAC,73,WASHINGTON,5,WESTPAC,62,CALIFORNIA 2,HDP,902575882,HDP,902575882,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5600,2022-08-20,1296,AUG 2022,PM,2D  ,Priority Mail - 2 Day,13,13,0
2628,10,CENTRAL,40,KY-WV,10,CENTRAL,40,KY-WV,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5558,2021-10-30,1287,NOV 2021,FC,2D  ,First Class - 2 Day,1,1,0
2629,2,ATLANTIC,57,DE-PA 2 DISTRICT,2,ATLANTIC,1317,NEW JERSEY,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5575,2022-02-26,1290,FEB 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
2630,10,CENTRAL,72,KS-MO,5,WESTPAC,62,CALIFORNIA 2,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5565,2021-12-18,1288,DEC 2021,FC,3D  ,First Class - 3 Day,119,154,35
2631,2,ATLANTIC,1317,NEW JERSEY,10,CENTRAL,46,WISCONSIN,HDP,902293956,HDP,902293956,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5592,2022-06-25,1295,JUL 2022,FC,3D  ,First Class - 3 Day,99,101,2
2632,10,CENTRAL,72,KS-MO,2,ATLANTIC,60,PENNSYLVANIA 1,HDP,902205134,HDP,902205134,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5583,2022-04-23,1292,APR 2022,FC,3D  ,First Class - 3 Day,102,103,1
2633,5,WESTPAC,1080,NV-UT,5,WESTPAC,1080,NV-UT,OPTUM RX SA_HDP,902746721,OPTUM RX SA_HDP,902746721,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5605,2022-09-24,1297,SEP 2022,PM,1D  ,Priority Mail - 1 Day,2,2,0
2634,5,WESTPAC,73,WASHINGTON,10,CENTRAL,55,MN-ND,OPTUM RX WV_HDP,902746735,OPTUM RX WV_HDP,902746735,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5566,2021-12-25,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,1,1,0
2635,10,CENTRAL,72,KS-MO,2,ATLANTIC,44,MARYLAND,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5584,2022-04-30,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,26,26,0
2636,10,CENTRAL,72,KS-MO,10,CENTRAL,16,OHIO 2,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5571,2022-01-29,1289,JAN 2022,FC,3D  ,First Class - 3 Day,20,23,3
2637,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,55,MN-ND,OPTUM RX CA_HDP,902746623,OPTUM RX CA_HDP,902746623,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5584,2022-04-30,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
2638,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1471,AL-MS,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5594,2022-07-09,1295,JUL 2022,FC,3D  ,First Class - 3 Day,243,277,34
2639,5,WESTPAC,38,CALIFORNIA 5,5,WESTPAC,89,CO-WY,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,PM ,Priority Mail                                     ,5575,2022-02-26,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,1029,1038,9
